Cement (kg/m3),Blast-furnace Slag (kg/m3),Fly Ash (kg/m3),Water (kg/m3),Super-plasticizer (kg/m3),Coarse Aggregate  (kg/m3),Fine Aggregate (kg/m3),Age of testing (day),Concrete compressive strength (MPa) 
425,106.3,0,151.4,18.6,936,803.7,7,46.8
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
439,177,0,186,11.1,884.9,707.9,7,56.1
389.9,189,0,145.9,22,944.7,755.8,7,59.09
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
425,106.3,0,151.4,18.6,936,803.7,28,61.8
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
439,177,0,186,11.1,884.9,707.9,28,66
389.9,189,0,145.9,22,944.7,755.8,28,74.5
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
425,106.3,0,151.4,18.6,936,803.7,56,64.9
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
439,177,0,186,11.1,884.9,707.9,56,71.7
389.9,189,0,145.9,22,944.7,755.8,56,79.4
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
425,106.3,0,151.4,18.6,936,803.7,91,66.7
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
439,177,0,186,11.1,884.9,707.9,91,73.3
389.9,189,0,145.9,22,944.7,755.8,91,82.6
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
238.1,0,94.1,186.7,7,949.9,847,3,19.93
238.1,0,94.1,186.7,7,949.9,847,14,25.69
238.1,0,94.1,186.7,7,949.9,847,28,30.23
238.1,0,94.1,186.7,7,949.9,847,56,39.59
238.1,0,94.1,186.7,7,949.9,847,100,44.3
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
212,0,124.8,159,7.8,1085.4,799.5,14,31.35
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
212,0,124.8,159,7.8,1085.4,799.5,56,45.08
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
376,0,0,214.6,0,1003.5,762.4,3,16.28
376,0,0,214.6,0,1003.5,762.4,14,25.62
376,0,0,214.6,0,1003.5,762.4,28,31.97
376,0,0,214.6,0,1003.5,762.4,56,36.3
376,0,0,214.6,0,1003.5,762.4,100,43.06
500,0,0,140,4,966,853,28,67.57
475,0,59,142,1.9,1098,641,28,57.23
315,137,0,145,5.9,1130,745,28,81.75
505,0,60,195,0,1030,630,28,64.02
451,0,0,165,11.3,1030,745,28,78.8
516,0,0,162,8.2,801,802,28,41.37
520,0,0,170,5.2,855,855,28,60.28
528,0,0,185,6.9,920,720,28,56.83
520,0,0,175,5.2,870,805,28,51.02
385,0,136,158,20,903,768,28,55.55
500.1,0,0,200,3,1124.4,613.2,28,44.13
450.1,50,0,200,3,1124.4,613.2,28,39.38
397,17.2,158,167,20.8,967,633,28,55.65
333,17.5,163,167,17.9,996,652,28,47.28
334,17.6,158,189,15.3,967,633,28,44.33
405,0,0,175,0,1120,695,28,52.3
200,200,0,190,0,1145,660,28,49.25
516,0,0,162,8.3,801,802,28,41.37
145,116,119,184,5.7,833,880,28,29.16
160,128,122,182,6.4,824,879,28,39.4
234,156,0,189,5.9,981,760,28,39.3
250,180,95,159,9.5,860,800,28,67.87
475,0,0,162,9.5,1044,662,28,58.52
285,190,0,163,7.6,1031,685,28,53.58
356,119,0,160,9,1061,657,28,59
275,180,120,162,10.4,830,765,28,76.24
500,0,0,151,9,1033,655,28,69.84
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
165,0,143.6,163.8,0,1005.6,900.9,56,36.56
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
446,24,79,162,11.6,967,712,28,57.03
446,24,79,162,11.6,967,712,28,44.42
446,24,79,162,11.6,967,712,28,51.02
446,24,79,162,10.3,967,712,28,53.39
446,24,79,162,11.6,967,712,3,35.36
446,24,79,162,11.6,967,712,3,25.02
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,11.6,967,712,7,52.01
446,24,79,162,11.6,967,712,7,38.02
446,24,79,162,11.6,967,712,7,39.3
446,24,79,162,11.6,967,712,56,61.07
446,24,79,162,11.6,967,712,56,56.14
446,24,79,162,11.6,967,712,56,55.25
446,24,79,162,10.3,967,712,56,54.77
387,20,94,157,14.3,938,845,28,50.24
387,20,94,157,13.9,938,845,28,46.68
387,20,94,157,11.6,938,845,28,46.68
387,20,94,157,14.3,938,845,3,22.75
387,20,94,157,13.9,938,845,3,25.51
387,20,94,157,11.6,938,845,3,34.77
387,20,94,157,14.3,938,845,7,36.84
387,20,94,157,13.9,938,845,7,45.9
387,20,94,157,11.6,938,845,7,41.67
